accel,gyro,miclevel,Label
"-0.7472120523452759,-0.06877213716506958,-0.25017476081848145","1.5695935487747192,-3.953105926513672,-1.4948062896728516","-18.894521713256836,-27.78469467163086",Walking
"-0.6110469102859497,0.05284905433654785,-0.11756402254104614","1.3355035781860352,-3.0788094997406006,-2.19484281539917","-19.451801300048828,-28.27881622314453",Walking
"-0.5190096497535706,0.26856529712677,-0.07488131523132324","0.7545962929725647,-2.134582996368408,-2.5393226146698","-20.56635856628418,-20.56635856628418",Walking
"-0.49586209654808044,0.3926662802696228,-0.07225644588470459","0.5728994607925415,-1.8407623767852783,-2.593262195587158","-21.12363624572754,-21.12363624572754",Walking
"-0.4508247375488281,0.5893480777740479,-0.0923159122467041","0.16328373551368713,-1.8564329147338867,-2.4827847480773926","-14.75971794128418,-17.540742874145508",Walking
"-0.4214444160461426,0.5562809705734253,-0.19012165069580078","-0.49128901958465576,-1.8944069147109985,-2.4239065647125244","-13.148716926574707,-16.086694717407227",Walking
"-0.4090183973312378,0.5294463634490967,-0.24662959575653076","-0.8443176746368408,-1.5504511594772339,-2.670994520187378","-13.148716926574707,-17.340917587280273",Walking
"-0.30534303188323975,0.5696859359741211,-0.33804476261138916","-1.2454304695129395,-0.13774330914020538,-3.4692163467407227","-13.148716926574707,-17.70305633544922",Walking
"-0.11003166437149048,0.7210954427719116,-0.3890678882598877","-0.793657660484314,0.8706791400909424,-4.170626163482666","-13.148716926574707,-18.54973030090332",Walking
"-0.0020965933799743652,0.7922539114952087,-0.35604166984558105","-0.36405596137046814,1.0601630210876465,-4.401722431182861","-13.148716926574707,-19.894893646240234",Walking
"0.2337692379951477,0.9418599605560303,-0.2475358247756958","0.250714510679245,0.9221015572547913,-4.52408504486084","-13.148716926574707,-20.547569274902344",Walking
"0.43266189098358154,1.0763494968414307,-0.16514122486114502","0.6311188340187073,0.6115977764129639,-3.8717713356018066","-13.148716926574707,-22.1803035736084",Walking
"0.5112905502319336,1.0827805995941162,-0.1306849718093872","0.7620435953140259,0.47062864899635315,-3.244683265686035","-13.148716926574707,-23.17572593688965",Walking
